ID,Category,Situation,Korean,Pronunciation,Nepali,Level
1,인사/입장,환영,어서 오세요.,어서 오세요,स्वागत छ।,1
2,인사/입장,환영,안녕하세요.,안녕하세요,नमस्ते।,1
3,인사/입장,환영,에베레스트입니다.,에베레스트임니다,एभरेस्ट हो।,1
4,인사/입장,인원 확인,몇 분이세요?,멷 뿌니세요,कति जना हुनुहुन्छ?,1
5,인사/입장,인원 확인,예약하셨어요?,예야카셔써요,आरक्षण गर्नुभएको छ?,1
6,인사/입장,인원 확인,성함이 어떻게 되세요?,성하미 어떠케 되세요,नाम के हो?,2
7,인사/입장,대기 안내,잠시만 기다려 주세요.,잠시만 기다려 주세요,अलि पर्खिनुहोस्।,1
8,인사/입장,대기 안내,곧 안내해 드릴게요.,곧 안내해 드릴게요,छिट्टै 안내 गर्छु।,2
9,인사/입장,혼잡 안내,지금 빈 자리가 없습니다.,지금 빈 자리가 업씀니다,अहिले सिट अलि छैन।,2
10,인사/입장,감사,와 주셔서 감사합니다.,와 주셔서 감사함니다,आउनुभएकोमा धन्यवाद।,1
11,자리/안내,자리 이동,이쪽으로 오세요.,이쪽으로 오세요,यता आउनुहोस्।,1
12,자리/안내,자리 이동,여기 앉으시면 됩니다.,여기 안즈시면 됨니다,यहाँ बस्नुहोस्।,1
13,자리/안내,자리 선택,원하시는 자리 있으세요?,원하시는 자리 이쓰세요,चाहेको सिट छ?,2
14,자리/안내,창가/안쪽,여기 자리 괜찮으세요?,여기 자리 갠차느세요,झ्यालतिर सिट ठीक छ?,2
15,자리/안내,테이블 합치기,테이블 붙여 드릴까요?,테이블 부쳐 드릴까요,टेबल जोडिदिऊँ?,2
16,자리/안내,유아/짐,짐은 여기 두셔도 됩니다.,짐은 여기 두셔도 됨니다,सामान यहाँ राख्नुस्।,2
17,자리/안내,유아 의자,아기 의자 필요하세요?,아기 의자 필요하세요,बच्चा कुर्सी चाहिन्छ?,2
18,자리/안내,메뉴 제공,메뉴판 드릴게요.,메뉴판 드릴게요,मेनु दिन्छु।,1
19,자리/안내,물 제공,물 먼저 드릴까요?,물 먼저 드릴까요,पहिले पानी दिनू?,1
20,자리/안내,티슈/젓가락,티슈 여기 있습니다.,티슈 여기 이씀니다,टिस्यु र चपस्टिक यहाँ छ।,2
21,주문 시작,주문 요청,주문 도와드릴까요?,주문 도와드릴까요,अर्डर लिनू?,1
22,주문 시작,시간 필요,천천히 보세요.,천천히 보세요,बिस्तारै हेर्नुस्।,1
23,주문 시작,시간 필요,준비되시면 불러 주세요.,준비되시면 불러 주세요,तयार भएपछि बोलाउनुहोस्।,2
24,주문 시작,추천,추천 메뉴 있어요.,추천 메뉴 이써요,सिफारिस मेनु छ।,1
25,주문 시작,추천,치킨마커니가 인기예요.,치킨마커니가 인기에요,आज {मेनु} लोकप्रिय छ।,2
26,주문 시작,세트 안내,세트 메뉴도 있습니다.,세트 메뉴도 이씀니다,सेट मेनु पनि छ।,1
27,주문 시작,세트 설명,세트는 커리+난+음료예요.,세트는 커리 난 음료에요,सेटमा करी+नान+पेय हुन्छ।,2
28,주문 시작,맵기 질문,맵기는 어느 정도로 할까요?,맵기는 어느 정도로 할까요,कति पिरो चाहिन्छ?,2
29,주문 시작,맵기 단계,맵기는 0단계에서 3단계까지 있어요.,맵기는 영단계에서 삼단계까지 이써요,पिरो ०–३ स्तर छ।,2
30,주문 시작,알레르기 확인,알레르기 있으세요?,알레르기 이쓰세요,एलर्जी छ?,2
