ID,Category,Situation,Korean,Pronunciation,Nepali,Level
1,인사/입장,환영,어서 오세요.,अस ओसेयो,स्वागत छ।,1
2,인사/입장,환영,안녕하세요.,अन्न्यङ हासेयो,नमस्ते।,1
3,인사/입장,환영,에베레스트입니다.,एबेरेस्ट इम्निदा,एभरेस्ट हो।,1
4,인사/입장,인원 확인,몇 분이세요?,म्यत बुन इसेयो?,कति जना हुनुहुन्छ?,1
5,인사/입장,인원 확인,예약하셨어요?,येयाक 하स्यस्सयो?,आरक्षण गर्नुभएको छ?,1
6,인사/입장,인원 확인,성함이 어떻게 되세요?,संहामि अतके द्वेसेयो?,नाम के हो?,2
7,인사/입장,대기 안내,잠시만 기다려 주세요.,जाम्सीमान गिदार्य जुसेयो,अलि पर्खिनुहोस्।,1
8,인사/입장,대기 안내,곧 안내해 드릴게요.,गोत अन्नेहे दुरिल्गेयो,छिट्टै 안내 गर्छु।,2
9,인사/입장,혼잡 안내,지금 빈 자리가 없습니다,지금 빈 자리가 업씀니다,अहिले सिट अलि छैन।,2
10,인사/입장,감사,와 주셔서 감사합니다.,와 주셔서 감사함니다,आउनुभएकोमा धन्यवाद।,1
11,자리/안내,자리 이동,이쪽으로 오세요.,이쪽으로 오세यो,यता आउनुहोस्।,1
12,자리/안내,자리 이동,여기 앉으시면 됩니다.,여기 안즈시면 됨니다,यहाँ बस्नुहोस्।,1
13,자리/안내,자리 선택,원하시는 자리 있으세요?,वन하 시는 자리 이쓰세यो?,चाहेको सिट छ?,2
14,자리/안내,창가/안쪽,여기 자리 괜찮으세요?,여기 자리 갠찬으세यो?,झ्यालतिर सिट ठीक छ?,2
15,자리/안내,테이블 합치기,테이블 붙여 드릴까요?,테이블 부쳐 드릴까요?,टेबल जोडिदिऊँ?,2
16,자리/안내,유아/짐,짐은 여기 두셔도 됩니다.,짐은 여기 두셔도 됨니다,सामान यहाँ राख्नुस्।,2
17,자리/안내,유아 의자,아기 의자 필요하세요?,아기 의자 필요하세यो?,बच्चा कुर्सी चाहिन्छ?,2
18,자리/안내,메뉴 제공,메뉴판 드릴게요.,메뉴판 드릴게यो,मेनु दिन्छु।,1
19,자리/안내,물 제공,물 먼저 드릴까요?,물 먼저 드릴까यो?,पहिले पानी दिनू?,1
20,자리/안내,티슈/젓가락,티슈 여기 있습니다.,티슈 여기 이씀니다,टिस्यु र चपस्टिक यहाँ छ।,2
21,주문 시작,주문 요청,주문 도와드릴까요?,주문 도와드릴까यो?,अर्डर लिनू?,1
22,주문 시작,시간 필요,천천히 보세요.,천천히 보세यो,बिस्तारै हेर्नुस्।,1
23,주문 시작,시간 필요,준비되시면 불러 주세요.,준비되시면 불러 주세यो,तयार भएपछि बोलाउनुहोस्।,2
24,주문 시작,추천,추천 메뉴 있어요.,추천 메뉴 이써요,सिफारिस मेनु छ।,1
25,주문 시작,추천,치킨마커니가 인기예요.,치킨마커니가 인기에요,आज {मेनु} लोकप्रिय छ।,2
26,주문 시작,세트 안내,세트 메뉴도 있습니다.,세트 메뉴도 이씀니다,सेट मेनु पनि छ।,1
27,주문 시작,세트 설명,세트는 커리+난+음료예요.,세트는 커리 난 음료에요,सेटमा करी+नान+पेय हुन्छ।,2
28,주문 시작,맵기 질문,맵기는 어느 정도로 할까요?,맵기는 어느 정도로 할까यो?,कति पिरो चाहिन्छ?,2
29,주문 시작,맵기 단계,맵기는 0단계에서 3단계까지 있어요.,맵기는 영단계에서 삼단계까지 이써요,पिरो ०–३ स्तर छ।,2
30,주문 시작,알레르기 확인,알레르기 있으세요?,알레르기 이쓰세यो?,एलर्जी छ?,2
31,메뉴/기본,커리 설명,커리는 인도·네팔식 요리예요.,커리는 인도 네팔식 요리에요,करी भारतीय/नेपाली सस हो।,2
32,메뉴/기본,난 설명,난은 탄두르 화덕으로 구은 빵이에요.,난은 탄두르 화덕으로 구운 빵이에यो,नान तन्दुर रोटी हो।,2
33,메뉴/기본,밥 안내,밥도 주문하실 수 있어요.,밥또 주문하실 수 이써요,भात पनि अर्डर गर्न सकिन्छ।,1
34,메뉴/기본,탄두리 설명,탄두리치킨은 는 화덕에 구운 닭이에요.,탄두리치킨은 화덕에 구운 닭이에यो,तन्दुरी ओभनमा भुटेको कुखुरा हो।,2
35,메뉴/기본,모모 설명,모모는 네팔식 만두예요.,모모는 네팔식 만두에요,मोमो नेपाली मःमः हो।,2
36,메뉴/기본,라씨 설명,라씨는 마시는 요거트 음료예요.,라씨는 마시는 요거트 음료에요,लस्सी दहीको पेय हो।,2
37,메뉴/기본,차이 안내,차이는 향신료 밀크티예요.,차이는 향신료 밀크티에요,चिया मसाला दूध चिया हो।,2
38,메뉴/기본,채식 안내,채식 메뉴도 있어요.,채식 메뉴도 이써요,शाकाहारी मेनु पनि छ।,1
39,메뉴/기본,비건 확인,비건으로 원하세요?,비건으로 원하세यो?,भेगन चाहिन्छ?,2
40,메뉴/기본,돼지고기,저희는 돼지고기 사용 안 해요.,저희는 돼지고기 사용 안 해요,हामी सुँगुरको मासु प्रयोग गर्दैनौँ।,2
41,메뉴/기본,소고기 확인,양고기가 들어간 메뉴도 있어요.,양고기가 드러간 메뉴도 이써요,गाईको मासु मेनु अनुसार फरक हुन्छ।,3
42,메뉴/기본,향신료 안내,향신료가 들어가요.,향신료가 드러가요,मसला पर्छ।,1
43,메뉴/기본,덜 자극,덜 맵게 해 드릴게요.,덜 맵게 해 드릴게यो,कम मसलेदार बनाइदिन्छु।,3
44,메뉴/기본,매운맛 주의,조금 매울 수 있어요.,조금 매울 수 이써요,अलि पिरो हुन सक्छ।,2
45,메뉴/기본,고수,"고수는 넣을까요, 뺄까요?",고수는 너을까यो 뺄까यो?,धनिया राखौँ कि हटाऔँ?,3
46,메뉴/기본,견과류,견과류가 들어갈 수 있어요.,견과류가 드러갈 수 이써요,बदाम/काजु पर्न सक्छ।,3
47,메뉴/기본,유제품,우유/버터 들어갈 수 있어요.,우유 버터 드러갈 수 이써요,दूध/बटर पर्न सक्छ।,3
48,메뉴/기본,글루텐,밀가루가 들어가요.,밀가루가 드러가요,मैदा पर्छ।,2
49,메뉴/기본,할랄,할랄로 안내해 드릴까요?,할랄로 안내해 드릴까यो?,हलालबारे बताइदिऊँ?,3
50,메뉴/기본,추천 조합,커리 하나에 난 하나가 좋아요.,커리 하나에 난 하나가 조아요,एक करीमा एक नान राम्रो।,2
51,주문/확인,주문 받기,하나 맞으세요?,하나 마즈세यो?,{메नु} एक हो?,2
52,주문/확인,수량 확인,버터난 한개 맞으세요?,버터난 한개 마즈세यो?,{메नु} {संख्या} वटा हो?,2
53,주문/확인,맵기 확인,맵기는 1단계로 하시나요?.,맵기는 일단계로 하시나यो?,पिरो {स्तर} बनाउँछु।,2
54,주문/확인,밥/난 확인,밥 추가하실까요?,밥 추가하실까यो?,भात थप्ने?,2
55,주문/확인,밥/난 확인,난 추가하실까요?,난 추가하실까यो?,नान थप्ने?,2
56,주문/확인,음료 확인,음료는 무엇으로 드릴까요?,음료는 무엇으로 드릴까यो?,पेय के लिने?,2
57,주문/확인,매운맛 조절,맵지않은 커리 원하시나요?,맵지아는 커리 원하시나यो?,कम पिरो बनाउन मिल्छ?,2
58,주문/확인,알레르기 확인,알레르기 있으시면 꼭 말씀해 주세요.,알레르기 이쓰시면 꼭 말씀해 주세यो,एलर्जी भए भन्नुहोस्।,3
59,주문/확인,주문 반복,주문 다시 한 번 확인할게요.,주문 다시 한 번 확인할게यो,अर्डर फेरि जाँच गर्छु।,2
60,주문/확인,주문 낭독, 맞으신가요?,마즈신가요?,맞으신가यो?,2
61,주문/확인,변경,주문 변경 가능해요.,주문 변경 가능해यो,अर्डर परिवर्तन मिल्छ।,2
62,주문/확인,변경,무엇을 바꿔 드릴까요?,무엇을 바꿔 드릴까यो?,के परिवर्तन गर्ने?,2
63,주문/확인,취소,취소 도와드릴게요.,취소 도와드릴게यो,रद्द गर्न मद्दत गर्छु।,2
64,주문/확인,추가 주문,추가로 더 필요하세요?,추가로 더 필요하세यो?,अरू थप चाहिन्छ?,2
65,주문/확인,포스 확인,"잠시만요, 포스 확인할게요.",잠시만요 포스 확인할게यो,अलि, POS जाँच गर्छु।,3
66,시간/안내,조리 시간,조리 시간은10분 정도예요.,조리 시간은 십뿐 정도에यो,पकाउन {मिनेट} मिनेट लाग्छ।,2
67,시간/안내,혼잡,지금 주문이 많아서 조금 걸려요.,지금 주문이 마나서 조금 걸려요,अहिले अर्डर धेरै छ, ढिला हुन्छ।,3
68,시간/안내,먼저 제공,음료 먼저 드릴게요.,음료 먼저 드릴게यो,पहिले पेय दिन्छु।,2
69,시간/안내,순서 안내,먼저 음료부터 나갑니다.,먼저 음료부터 나감니다,पहिले {मेनु} आउँछ।,3
70,시간/안내,추가 기다림,조금만 더 기다려 주세요.,조금만 더 기다려 주세यो,अलि थप पर्खिनुहोस्।,2
71,서빙/기본,서빙 시작,주문하신 음식 나왔습니다.,주문하신 음식 나와씀니다,अर्डर गरेको खाना आयो।,1
72,서빙/기본,뜨거움 주의,뜨거우니 조심하세요.,뜨거우니 조심하세यो,تاतो छ, सावधान।,2
73,서빙/기본,놓는 위치,여기 놓아 드릴게요.,여기 놓아 드릴게यो,यहाँ राखिदिन्छु।,1
74,서빙/기본,앞접시,앞접시 드릴까요?,앞접시 드릴까यो?,प्लेट चाहिन्छ?,2
75,서빙/기본,식기 추가,숟가락 더 드릴까요?,숟가락 더 드릴까यो?,चम्चा थप?,2
76,서빙/기본,식기 추가,포크 더 드릴까요?,포크 더 드릴까यो?,काँटा थप?,2
77,서빙/기본,물 리필,물 더 드릴까요?,물 더 드릴까यो?,पानी थप?,1
